2025-09-28 15:23:37,270 - INFO - DNS General iniciado en 0.0.0.0:50005
2025-09-28 15:23:37,271 - INFO - Esperando registros de servidores...
2025-09-28 15:26:52,168 - INFO - DNS General iniciado en 127.0.0.1:50005
2025-09-28 15:26:52,170 - INFO - Esperando registros de servidores...
2025-09-28 15:59:38,566 - INFO - Petición de ('127.0.0.1', 57910): registrar_servidor
2025-09-28 15:59:38,567 - INFO - Servidor SERVER_MARCO registrado con 0 archivos
2025-09-28 15:59:38,939 - INFO - Petición de ('127.0.0.1', 57912): registrar_servidor
2025-09-28 15:59:38,940 - INFO - Servidor server_dan registrado con 2 archivos
2025-09-28 15:59:39,316 - INFO - Petición de ('127.0.0.1', 57914): registrar_servidor
2025-09-28 15:59:39,317 - INFO - Servidor server_gus registrado con 3 archivos
2025-09-28 15:59:39,679 - INFO - Petición de ('127.0.0.1', 57916): registrar_servidor
2025-09-28 15:59:39,679 - INFO - Servidor server_christian registrado con 4 archivos
2025-09-28 16:00:08,201 - INFO - Petición de ('127.0.0.1', 63574): heartbeat
2025-09-28 16:00:08,570 - INFO - Petición de ('127.0.0.1', 63575): heartbeat
2025-09-28 16:00:08,943 - INFO - Petición de ('127.0.0.1', 63576): heartbeat
2025-09-28 16:00:09,320 - INFO - Petición de ('127.0.0.1', 63577): heartbeat
2025-09-28 16:00:09,682 - INFO - Petición de ('127.0.0.1', 63578): heartbeat
2025-09-28 16:00:38,203 - INFO - Petición de ('127.0.0.1', 59924): heartbeat
2025-09-28 16:00:38,571 - INFO - Petición de ('127.0.0.1', 59927): heartbeat
2025-09-28 16:00:38,944 - INFO - Petición de ('127.0.0.1', 59929): heartbeat
2025-09-28 16:00:39,321 - INFO - Petición de ('127.0.0.1', 59931): heartbeat
2025-09-28 16:00:39,683 - INFO - Petición de ('127.0.0.1', 59933): heartbeat
2025-09-28 16:01:08,204 - INFO - Petición de ('127.0.0.1', 60880): heartbeat
2025-09-28 16:01:08,573 - INFO - Petición de ('127.0.0.1', 60881): heartbeat
2025-09-28 16:01:08,946 - INFO - Petición de ('127.0.0.1', 60882): heartbeat
2025-09-28 16:01:09,322 - INFO - Petición de ('127.0.0.1', 60883): heartbeat
2025-09-28 16:01:09,685 - INFO - Petición de ('127.0.0.1', 60884): heartbeat
2025-09-28 16:01:38,206 - INFO - Petición de ('127.0.0.1', 50321): heartbeat
2025-09-28 16:01:38,575 - INFO - Petición de ('127.0.0.1', 50323): heartbeat
2025-09-28 16:01:38,947 - INFO - Petición de ('127.0.0.1', 50325): heartbeat
2025-09-28 16:01:39,324 - INFO - Petición de ('127.0.0.1', 50327): heartbeat
2025-09-28 16:01:39,686 - INFO - Petición de ('127.0.0.1', 50329): heartbeat
2025-09-28 16:02:07,567 - INFO - DNS General iniciado en 127.0.0.1:50005
2025-09-28 16:02:07,568 - INFO - Esperando registros de servidores...
2025-09-28 16:02:17,092 - INFO - Petición de ('127.0.0.1', 63826): registrar_servidor
2025-09-28 16:02:17,093 - INFO - Servidor SERVER1 registrado con 4 archivos
2025-09-28 16:02:17,469 - INFO - Petición de ('127.0.0.1', 63828): registrar_servidor
2025-09-28 16:02:17,470 - INFO - Servidor SERVER_MARCO registrado con 0 archivos
2025-09-28 16:02:17,838 - INFO - Petición de ('127.0.0.1', 51773): registrar_servidor
2025-09-28 16:02:17,838 - INFO - Servidor server_dan registrado con 2 archivos
2025-09-28 16:02:18,224 - INFO - Petición de ('127.0.0.1', 51775): registrar_servidor
2025-09-28 16:02:18,225 - INFO - Servidor server_gus registrado con 3 archivos
2025-09-28 16:02:18,572 - INFO - Petición de ('127.0.0.1', 51777): registrar_servidor
2025-09-28 16:02:18,573 - INFO - Servidor server_christian registrado con 4 archivos
2025-09-28 16:02:47,097 - INFO - Petición de ('127.0.0.1', 62861): heartbeat
2025-09-28 16:02:47,473 - INFO - Petición de ('127.0.0.1', 62862): heartbeat
2025-09-28 16:02:47,841 - INFO - Petición de ('127.0.0.1', 62863): heartbeat
2025-09-28 16:02:48,227 - INFO - Petición de ('127.0.0.1', 62864): heartbeat
2025-09-28 16:02:48,576 - INFO - Petición de ('127.0.0.1', 62865): heartbeat
2025-09-28 16:03:17,099 - INFO - Petición de ('127.0.0.1', 58646): heartbeat
2025-09-28 16:03:17,475 - INFO - Petición de ('127.0.0.1', 58648): heartbeat
2025-09-28 16:03:17,843 - INFO - Petición de ('127.0.0.1', 58650): heartbeat
2025-09-28 16:03:18,229 - INFO - Petición de ('127.0.0.1', 58652): heartbeat
2025-09-28 16:03:18,577 - INFO - Petición de ('127.0.0.1', 58654): heartbeat
2025-09-28 16:03:47,101 - INFO - Petición de ('127.0.0.1', 51423): heartbeat
